Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,oˈla,ɔˈʎaɾ,o.ˈla,ɔ.ˈʎaɾ,o,ɔ,1,1,,olhar,"look, see",Baxter1990[7-21],
Papia Kristang,oˈla,ɔˈʎaɾ,o.ˈla,ɔ.ˈʎaɾ,ˈla,ʎaɾ,2,2,,olhar,"look, see",Baxter1990[7-21],
Papia Kristang,ˈpjolu,ˈpjoʎu,ˈpjo.lu,ˈpjo.ʎu,ˈpjo,ˈpjo,1,1,,piolho,louse,Baxter2004,
Papia Kristang,ˈpjolu,ˈpjoʎu,ˈpjo.lu,ˈpjo.ʎu,lu,ʎu,2,2,,piolho,louse,Baxter2004,
Papia Kristang,ˈomi,ˈɔmɐ̃j̃,ˈo.mi,ˈɔ.mɐ̃j̃,ˈo,ˈɔ,1,1,,homem,man,Baxter2004,
Papia Kristang,ˈomi,ˈɔmɐ̃j̃,ˈo.mi,ˈɔ.mɐ̃j̃,mi,mɐ̃j̃,2,2,,homem,man,Baxter2004,
Papia Kristang,ˈtantu,ˈtɐ̃tu,ˈtan.tu,ˈtɐ̃.tu,ˈtan,ˈtɐ̃,1,1,,tanto,many,Baxter2004,
Papia Kristang,ˈtantu,ˈtɐ̃tu,ˈtan.tu,ˈtɐ̃.tu,tu,tu,2,2,,tanto,many,Baxter2004,
Papia Kristang,ˈlεti,ˈlɐjtɨ,ˈlε.ti,ˈlɐj.tɨ,ˈlε,ˈlɐj,1,1,,leite,milk,Baxter1990[7-21],
Papia Kristang,ˈlεti,ˈlɐjtɨ,ˈlε.ti,ˈlɐj.tɨ,ti,tɨ,2,2,,leite,milk,Baxter1990[7-21],
Papia Kristang,ˈluŋa,ˈluɐ,ˈlu.ŋa,ˈlu.ɐ,ˈlu,ˈlu,1,1,,lua,moon,Baxter2004,
Papia Kristang,ˈluŋa,ˈluɐ,ˈlu.ŋa,ˈlu.ɐ,ŋa,ɐ,2,2,,lua,moon,Baxter2004,
Papia Kristang,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,ˈno,ˈno,1,1,,nome,name,Baxter2004,
Papia Kristang,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,mi,mɨ,2,2,,nome,name,Baxter2004,
Papia Kristang,ˈnubu,ˈnovu,ˈnu.bu,ˈno.vu,ˈnu,ˈno,1,1,,novo,new,Baxter1990[7-21],
Papia Kristang,ˈnubu,ˈnovu,ˈnu.bu,ˈno.vu,bu,vu,2,2,,novo,new,Baxter1990[7-21],
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,a,-,1,-,,noite,night,Baxter2004,
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,ˈnu,ˈnoj,2,1,,noite,night,Baxter2004,
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,ti,tɨ,3,2,,noite,night,Baxter2004,
Papia Kristang,ˈŋka,ˈnũkɐ,ˈŋ.ka,ˈnũ.kɐ,ˈŋ,ˈnũ,1,1,,nunca,no,Baxter1990[7-21],
Papia Kristang,ˈŋka,ˈnũkɐ,ˈŋ.ka,ˈnũ.kɐ,ka,kɐ,2,2,,nunca,no,Baxter1990[7-21],
Papia Kristang,nˈte,nɐ̃w̃ˈtɐ̃j̃,n.ˈte,nɐ̃w̃.ˈtɐ̃j̃,n,nɐ̃w̃,1,1,,não tem,not have,Baxter1990[7-21],
Papia Kristang,nˈte,nɐ̃w̃ˈtɐ̃j̃,n.ˈte,nɐ̃w̃.ˈtɐ̃j̃,ˈte,ˈtɐ̃j̃,2,2,,não tem,not have,Baxter1990[7-21],
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,a,ɐ,1,1,,azeite,oil,Baxter1990[7-21],
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,2,2,,azeite,oil,Baxter1990[7-21],
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ti,tɨ,3,3,,azeite,oil,Baxter1990[7-21],
Papia Kristang,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,ˈɔ:,ˈo,1,1,,outro,other,Baxter1990[7-21],
Papia Kristang,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,tu,tɾu,2,2,,outro,other,Baxter1990[7-21],
Papia Kristang,d̠ʒenti,ˈʒẽtɨ,d̠ʒen.ti,ˈʒẽ.tɨ,d̠ʒen,ˈʒẽ,1,1,,gente,person,Baxter1990[7-21],
Papia Kristang,d̠ʒenti,ˈʒẽtɨ,d̠ʒen.ti,ˈʒẽ.tɨ,ti,tɨ,2,2,,gente,person,Baxter1990[7-21],
Papia Kristang,boˈta,buˈtaɾ,bo.ˈta,bu.ˈtaɾ,bo,bu,1,1,,botar,put,Baxter1990[7-21],
Papia Kristang,boˈta,buˈtaɾ,bo.ˈta,bu.ˈtaɾ,ˈta,ˈtaɾ,2,2,,botar,put,Baxter1990[7-21],
Papia Kristang,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,ˈt̠ʃu,ˈʃu,1,1,,chuva,rain,Baxter1990[7-21],
Papia Kristang,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,a,vɐ,2,2,,chuva,rain,Baxter1990[7-21],
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,bru,vɨɾ,1,1,metathesis,vermelho,red,Baxter2004,
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,ˈmi,ˈmɐj,2,2,,vermelho,red,Baxter2004,
