Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;kudze;kuˈzeɾ;kud.ze;ku.ˈzeɾ;2;2;kud;ku;1;1;Initial;Initial;;coser;sew;Clements2012[37-160];
Korlai;kudze;kuˈzeɾ;kud.ze;ku.ˈzeɾ;2;2;ze;zeɾ;2;2;Medial;Medial;;coser;sew;Clements2012[37-161];
Korlai;kuɾt;ˈkuɾtu;kuɾt;ˈkuɾ.tu;1;2;kuɾt;kuɾ;1;1;Initial;Initial;;curto;short;Clements2012[37-162];
Korlai;kuɾt;ˈkuɾtu;kuɾt;ˈkuɾ.tu;1;2;-;tu;-;2;-;Medial;;curto;short;Clements2012[37-163];
Korlai;kata;kɐ̃ˈtaɾ;ka.ta;kɐ̃.ˈtaɾ;2;2;ka;kɐ̃;1;1;Initial;Initial;;cantar;sing;Clements2012[37-164];
Korlai;kata;kɐ̃ˈtaɾ;ka.ta;kɐ̃.ˈtaɾ;2;2;ta;taɾ;2;2;Medial;Medial;;cantar;sing;Clements2012[37-165];
Korlai;sata;sẽˈtaɾ;sa.ta;sẽ.ˈtaɾ;2;2;sa;sẽ;1;1;Initial;Initial;;sentar;sit;Clements2012[37-166];
Korlai;sata;sẽˈtaɾ;sa.ta;sẽ.ˈtaɾ;2;2;ta;taɾ;2;2;Medial;Medial;;sentar;sit;Clements2012[37-167];
Korlai;fum;ˈfumu;fum;ˈfu.mu;1;2;fum;fu;1;1;Initial;Initial;;fumo;smoke;Clements2012[37-168];
Korlai;fum;ˈfumu;fum;ˈfu.mu;1;2;-;mu;-;2;-;Medial;;fumo;smoke;Clements2012[37-169];
Korlai;liʣ;ˈlizu;liʣ;ˈli.zu;1;2;liʣ;li;1;1;Initial;Initial;;liso;smooth;Clements2012[37-170];
Korlai;liʣ;ˈlizu;liʣ;ˈli.zu;1;2;-;zu;-;2;-;Medial;;liso;smooth;Clements2012[37-171];
Korlai;kɔb;ˈkɔbɾɐ;kɔb;ˈkɔ.bɾɐ;1;2;kɔb;kɔ;1;1;Initial;Initial;;cobra;snake;Clements2012[37-172];
Korlai;kɔb;ˈkɔbɾɐ;kɔb;ˈkɔ.bɾɐ;1;2;-;bɾɐ;-;2;-;Medial;;cobra;snake;Clements2012[37-173];
Korlai;kuspi;kuʃˈpiɾ;kus.pi;kuʃ.ˈpiɾ;2;2;kus;kuʃ;1;1;Initial;Initial;;cuspir;spit;Clements2012[37-174];
Korlai;kuspi;kuʃˈpiɾ;kus.pi;kuʃ.ˈpiɾ;2;2;pi;piɾ;2;2;Medial;Medial;;cuspir;spit;Clements2012[37-175];
Korlai;fuɾa;fuˈɾaɾ;fu.ɾa;fu.ˈɾaɾ;2;2;fu;fu;1;1;Initial;Initial;;furar;pierce;Clements2012[37-176];
Korlai;fuɾa;fuˈɾaɾ;fu.ɾa;fu.ˈɾaɾ;2;2;ra;rar;2;2;Medial;Medial;;furar;pierce;Clements2012[37-177];
Korlai;sɔl;ˈsɔl;sɔl;ˈsɔl;1;1;sɔl;sɔl;1;1;Initial;Initial;;sol;sun;Clements2012[37-178];
Korlai;gɾos;ˈgɾosu;gɾos;ˈgɾo.su;1;2;gɾos;gro;1;1;Initial;Initial;;grosso;thick;Clements2012[37-179];
Korlai;gɾos;ˈgɾosu;gɾos;ˈgɾo.su;1;2;-;su;-;2;-;Medial;;grosso;thick;Clements2012[37-180];
Korlai;fɾak;ˈfɾaku;fɾak;ˈfɾa.ku;1;2;fɾak;fra;1;1;Initial;Initial;;fraco;thin;Clements2012[37-181];
