Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,ˈɔbu,ˈovu,ˈɔ.bu,ˈo.vu,bu,vu,2,2,,ovo,egg,Baxter1990[7-21],
Timor Pidgin,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,ˈno,ˈno,1,1,,novo,new,Baxter1990[7-21],
Timor Pidgin,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,bu,vu,2,2,,novo,new,Baxter1990[7-21],
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,a,ɐ,1,1,,azeite,oil,Baxter1990[7-21],
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,2,2,,azeite,oil,Baxter1990[7-21],
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ti,tɨ,3,3,,azeite,oil,Baxter1990[7-21],
Timor Pidgin,ˈpetu,ˈpejtu,ˈpe.tu,ˈpej.tu,ˈpe,ˈpej,1,1,,peito,breast,Baxter1990[7-21],
Timor Pidgin,ˈpetu,ˈpejtu,ˈpe.tu,ˈpej.tu,tu,tu,2,2,,peito,breast,Baxter1990[7-21],
Timor Pidgin,ˈbesu,ˈbɐjʒu,ˈbe.su,ˈbɐj.ʒu,ˈbe,ˈbɐj,1,1,,beiço,lip,Baxter1990[7-21],
Timor Pidgin,ˈbesu,ˈbɐjʒu,ˈbe.su,ˈbɐj.ʒu,su,ʒu,2,2,,beiço,lip,Baxter1990[7-21],
Timor Pidgin,ˈleti,ˈlɐjtɨ,ˈle.ti,ˈlɐj.tɨ,ˈle,ˈlɐj,1,1,,leite,milk,Baxter1990[7-21],
Timor Pidgin,ˈleti,ˈlɐjtɨ,ˈle.ti,ˈlɐj.tɨ,ti,tɨ,2,2,,leite,milk,Baxter1990[7-21],
Timor Pidgin,muˈjεr,muˈʎεɾ,mu.ˈjεr,mu.ˈʎεɾ,mu,mu,1,1,,mulher,"woman, wife",Baxter1990[7-21],
Timor Pidgin,muˈjεr,muˈʎεɾ,mu.ˈjεr,mu.ˈʎεɾ,ˈjεr,ˈʎεɾ,2,2,,mulher,"woman, wife",Baxter1990[7-21],
Timor Pidgin,ˈɔju,ˈoʎu,ˈɔ.ju,ˈo.ʎu,ˈɔ,ˈo,1,1,,olho,eye,Baxter1990[7-21],
Timor Pidgin,ˈɔju,ˈoʎu,ˈɔ.ju,ˈo.ʎu,ju,ʎu,2,2,,olho,eye,Baxter1990[7-21],
Timor Pidgin,ˈdad̠ʒi,ˈdaʎɨ,ˈda.d̠ʒi,ˈda.ʎɨ,ˈda,ˈda,1,1,,dá-lhe,strike,Baxter1990[7-21],
Timor Pidgin,ˈdad̠ʒi,ˈdaʎɨ,ˈda.d̠ʒi,ˈda.ʎɨ,d̠ʒi,ʎɨ,2,2,,dá-lhe,strike,Baxter1990[7-21],
Timor Pidgin,ˈɔja,ɔˈʎaɾ,ˈɔ.ja,ɔ.ˈʎaɾ,ˈɔ,ɔ,1,1,,olhar,"look, see",Baxter1990[7-21],
Timor Pidgin,ˈɔja,ɔˈʎaɾ,ˈɔ.ja,ɔ.ˈʎaɾ,ja,ˈʎaɾ,2,2,,olhar,"look, see",Baxter1990[7-21],
