SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
kami:m,kɐˈmiɲu,ka.mi:m,kɐ.ˈmi.ɲu,caminho,road,Clements2012[37-41],,,,,,6,6,0,Equal,2,3,-1,Target
ɾɛzə,ʀɐˈiʃ,ɾɛ.zə,ʀɐ.ˈiʃ,raiz,root,Clements2012[37-41],,,,,,4,4,0,Equal,2,2,0,Equal
kɔ:ɾda,ˈkɔɾdɐ,kɔ:ɾ.da,ˈkɔɾ.dɐ,corda,rope,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
po:dɾi,ˈpodɾɨ,po:.dɾi,ˈpo.dɾɨ,podre,rotten,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ɾoti:du,puˈdɾidu,ɾo.ti:.du,pu.ˈdɾi.du,podre,rotten,Clements2012[37-41],,,,,,7,7,0,Equal,3,3,0,Equal
ɾɔnt,,ɾɔnt,,redondo,round,Clements2012[37-41],,,,,,4,,,,1,,,
ɾusa:,ʀuˈsaɾ,ɾu.sa:,ʀu.ˈsaɾ,esfregar,rub,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
sa:l,ˈsal,sa:l,ˈsal,sal,salt,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
aɾi:ja,ɐˈɾɐjɐ,aɾi.:ja,ɐ.ˈɾɐj.ɐ,areia,sand,Clements2012[37-41],,,,,,6,5,1,Source,2,3,-1,Target
fala:,fɐˈlaɾ,fa.la:,fɐ.ˈlaɾ,falar,say,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
ma:ɾa,ˈmaɾ,ma.:ɾa,ˈmaɾ,mar,sea,Clements2012[37-41],,,,,,5,3,2,Source,2,1,1,Source
paɾsa,pɐɾɨˈseɾ,paɾ.sa,pɐ.ɾɨ.ˈseɾ,parecer,see,Clements2012[37-41],,,,,,5,7,-2,Target,2,3,-1,Target
kuza,kuˈzeɾ,ku.za,ku.ˈzeɾ,coser,sew,Clements2012[37-41],,,,,,4,5,-1,Target,2,2,0,Equal
aʋdu,ɐˈgudu,aʋ.du,ɐ.ˈgu.du,agudo,sharp,Clements2012[37-41],,,,,,4,5,-1,Target,2,3,-1,Target
