Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSylLength,PositionSource,Position Target,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,ˈvedi,ˈveɾdɨ,ˈve.di,ˈveɾ.dɨ,di,dɨ,2,2,2,2,Final,Final,ˈve,2,ˈveɾ,2,,verde,green,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,ve,vɨɾ,2,3,1,,Initial,#N/A,0,ˈme,0,ˈmɐj,,vermelho,red,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,ˈme,ˈmɐj,2,3,2,2,Final,Medial,ve,-,vɨɾ,ʎu,,vermelho,red,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,-,ʎu,2,3,-,3,-,Final,ˈme,-,ˈmɐj,3,,vermelho,red,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,ŋ,kɐ,3,3,1,1,Initial,Initial,0,ga,0,ɾɐ,,carapau,scad,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,ga,ɾɐ,3,3,2,2,Medial,Medial,ŋ,ˈpo,kɐ,ˈpaw,,carapau,scad,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,ˈpo,ˈpaw,3,3,3,3,Final,Final,ga,3,ɾɐ,3,,carapau,scad,Bandeira2017[366-412],
Angolar,kikiˈe,ˈpejʃɨ,ki.ki.ˈe,ˈpej.ʃɨ,ki,ˈpej,3,2,1,1,Initial,Initial,0,ki,0,ʃɨ,,peixe,fish,Bandeira2017[366-412],
Angolar,kikiˈe,ˈpejʃɨ,ki.ki.ˈe,ˈpej.ʃɨ,ki,ʃɨ,3,2,2,2,Medial,Final,ki,ˈe,ˈpej,-,,peixe,fish,Bandeira2017[366-412],
Angolar,kikiˈe,ˈpejʃɨ,ki.ki.ˈe,ˈpej.ʃɨ,ˈe,-,3,2,3,-,Final,-,ki,3,ʃɨ,-,,peixe,fish,Bandeira2017[366-412],
