Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word diff,Word bigger,Syll diff,SylNum bigger
Principense,ˈmuro,ˈmuɾu,ˈmu.ro,ˈmu.ɾu,ˈmu,ˈmu,1,1,4,4,2,2,0,Equal,0,Equal
Principense,ˈpa:sɐ,ˈpɾasɐ,ˈpa:.sɐ,ˈpɾa.sɐ,sɐ,sɐ,2,2,5,5,2,2,0,Equal,0,Equal
Principense,pɔˈsɐ̃,puvuɐˈsɐ̃w̃,pɔ.ˈsɐ̃,pu.vu.ɐ.ˈsɐ̃w̃,pɔ,pu,1,1,5,10,2,4,-5,Target,-2,Target
Principense,pɔˈtɐ̃ˈga:ni,puɾˈtɐ̃w̃,pɔ.ˈtɐ̃ ˈga:.ni,puɾ.ˈtɐ̃w̃,ni,ˈtɐ̃w̃,4,2,10,8,4,2,2,Source,2,Source
Principense,ˈsalɐ,ˈsalɐ,ˈsa.lɐ,ˈsa.lɐ,ˈsa,ˈsa,1,1,4,4,2,2,0,Equal,0,Equal
Principense,sɐ̃ˈzalɐ,sẽˈzalɐ,sɐ̃.ˈza.lɐ,sẽ.ˈza.lɐ,lɐ,lɐ,3,3,7,7,3,3,0,Equal,0,Equal
Principense,ʃimĩˈtɛw,sɨmiˈtɛɾiu,ʃi.mĩ.ˈtɛw,sɨ.mi.ˈtɛ.ɾi.u,ʃi,sɨ,1,1,8,9,3,5,-1,Target,-2,Target
Principense,ˈto,ˈtoʀɨ,ˈto,ˈto.ʀɨ,-,ʀɨ,-,2,2,4,1,2,-2,Target,-1,Target
Principense,uˈfɛw,ˈfɛʀu,u.ˈfɛw,ˈfɛ.ʀu,u,ˈfɛ,1,1,4,4,2,2,0,Equal,0,Equal
Principense,ˈoro,ˈoɾu,ˈo.ro,ˈo.ɾu,ro,ɾu,2,2,3,3,2,2,0,Equal,0,Equal
Principense,ˈpa:tɐ,ˈpɾatɐ,ˈpa:.tɐ,ˈpɾa.tɐ,ˈpa:,ˈpɾa,1,1,5,5,2,2,0,Equal,0,Equal
Principense,ˈsũbu,ˈʃũbu,ˈsũ.bu,ˈʃũ.bu,bu,bu,2,2,5,5,2,2,0,Equal,0,Equal
Principense,aˈrja,ɐˈɾɐjɐ,a.ˈrja,ɐ.ˈɾɐj.ɐ,a,ɐ,1,1,4,5,2,3,-1,Target,-1,Target
Principense,ˈaruku,ˈaɾku ˈiɾɨʃ,ˈa.ru.ku,ˈaɾ.ku ˈi.ɾɨʃ,ku,ɾɨʃ,3,4,5,9,3,3,-4,Target,0,Equal
Principense,uˈbaw,ˈbaʀu,u.ˈbaw,ˈba.ʀu,u,ˈba,1,1,4,4,2,2,0,Equal,0,Equal
