Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,aze:ti,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,a,0,ze:,ɐ,3,3,1,1,Initial,Initial,,azeite,oil,Clements2012[37-41]
Sri Lanka Portuguese,aze:ti,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,ze:,a,ti,ˈzɐj,3,3,2,2,Medial,Medial,,azeite,oil,Clements2012[37-41]
Sri Lanka Portuguese,aze:ti,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,ti,ze:,3,tɨ,3,3,3,3,Final,Final,,azeite,oil,Clements2012[37-41]
Sri Lanka Portuguese,guɾdu:ɾa,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,guɾ,0,du:,ɡuɾ,3,3,1,1,Initial,Initial,,gordura,fat,Clements2012[37-41]
Sri Lanka Portuguese,guɾdu:ɾa,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,du:,guɾ,ɾa,ˈdu,3,3,2,2,Medial,Medial,,gordura,fat,Clements2012[37-41]
Sri Lanka Portuguese,guɾdu:ɾa,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,ɾa,du:,3,ɾɐ,3,3,3,3,Final,Final,,gordura,fat,Clements2012[37-41]
Sri Lanka Portuguese,pa:j,paj,pa:j,paj,pa:j,0,1,paj,1,1,1,1,Final,Final,,pai,father,Clements2012[37-41]
Sri Lanka Portuguese,me:du,ˈmedu,me:.du,ˈme.du,me:,0,du,ˈme,2,2,1,1,Initial,Initial,,medo,fear,Clements2012[37-41]
Sri Lanka Portuguese,me:du,ˈmedu,me:.du,ˈme.du,du,me:,2,du,2,2,2,2,Final,Final,,medo,fear,Clements2012[37-41]
Sri Lanka Portuguese,pɛ:na,ˈpenɐ,pɛ:.na,ˈpe.nɐ,pɛ:,0,na,ˈpe,2,2,1,1,Initial,Initial,,pena,feather,Clements2012[37-41]
Sri Lanka Portuguese,pɛ:na,ˈpenɐ,pɛ:.na,ˈpe.nɐ,na,pɛ:,2,nɐ,2,2,2,2,Final,Final,,pena,feather,Clements2012[37-41]
Sri Lanka Portuguese,po:ku,ˈpoku,po.:ku,ˈpo.ku,po:,0,ku,ˈpo,2,2,1,1,Initial,Initial,,pouco,few,Clements2012[37-41]
Sri Lanka Portuguese,po:ku,ˈpoku,po.:ku,ˈpo.ku,ku,po:,2,ku,2,2,2,2,Final,Final,,pouco,few,Clements2012[37-41]
Sri Lanka Portuguese,gɔ:ta,ˈgotɐ,gɔ:.ta,ˈgo.tɐ,gɔ:,0,ta,ˈgo,2,2,1,1,Initial,Initial,,pouco,few,Clements2012[37-41]
Sri Lanka Portuguese,gɔ:ta,ˈgotɐ,gɔ:.ta,ˈgo.tɐ,ta,gɔ:,2,tɐ,2,2,2,2,Final,Final,,pouco,few,Clements2012[37-41]
Sri Lanka Portuguese,bɾi:ja,bɾiˈgaɾ,bɾi:.ja,bɾiˈ.gaɾ,bɾi:,0,ja,bɾi,2,2,1,1,Initial,Initial,,brigar,fight,Clements2012[37-41]
Sri Lanka Portuguese,bɾi:ja,bɾiˈgaɾ,bɾi:.ja,bɾiˈ.gaɾ,ja,bɾi:,2,ˈgaɾ,2,2,2,2,Final,Final,,brigar,fight,Clements2012[37-41]
Sri Lanka Portuguese,fo:ʋ,ˈfoɡu,fo:ʋ,ˈfo.ɡu,fo:ʋ,0,-,ˈfo,1,2,1,1,Final,Initial,,fogo,fire,Clements2012[37-41]
Sri Lanka Portuguese,fo:ʋ,ˈfoɡu,fo:ʋ,ˈfo.ɡu,-,fo:ʋ,1,ɡu,1,2,-,2,-,Final,,fogo,fire,Clements2012[37-41]
Sri Lanka Portuguese,pe:si,ˈpejʃɨ,pe.:si,ˈpej.ʃɨ,pe:,0,si,ˈpej,2,2,1,1,Initial,Initial,,peixe,fish,Clements2012[37-41]
Sri Lanka Portuguese,pe:si,ˈpejʃɨ,pe.:si,ˈpej.ʃɨ,si,pe:,2,ʃɨ,2,2,2,2,Final,Final,,peixe,fish,Clements2012[37-41]
Sri Lanka Portuguese,si:nku,ˈsĩku,si:n.ku,ˈsĩ.ku,si:n,0,ku,ˈsĩ,2,2,1,1,Initial,Initial,,cinco,five,Clements2012[37-41]
Sri Lanka Portuguese,si:nku,ˈsĩku,si:n.ku,ˈsĩ.ku,ku,si:n,2,ku,2,2,2,2,Final,Final,,cinco,five,Clements2012[37-41]
Sri Lanka Portuguese,nada:,nɐˈdaɾ,na.da:,nɐ.ˈdaɾ,na,0,da:,nɐ,2,2,1,1,Initial,Initial,,nadar,float,Clements2012[37-41]
Sri Lanka Portuguese,nada:,nɐˈdaɾ,na.da:,nɐ.ˈdaɾ,da:,na,2,ˈdaɾ,2,2,2,2,Final,Final,,nadar,float,Clements2012[37-41]
Sri Lanka Portuguese,fu:la,ˈfloɾ,fu:.la,ˈfloɾ,fu:,0,la,ˈfloɾ,2,1,1,1,Initial,Final,,flor,flower,Clements2012[37-41]
Sri Lanka Portuguese,fu:la,ˈfloɾ,fu:.la,ˈfloɾ,la,fu:,2,-,2,1,2,-,Final,-,,flor,flower,Clements2012[37-41]
Sri Lanka Portuguese,awga:,vuˈaɾ,aw.ga:,vu.ˈaɾ,aw,0,ga:,vu,2,2,1,1,Initial,Initial,,voar,fly,Clements2012[37-41]
Sri Lanka Portuguese,awga:,vuˈaɾ,aw.ga:,vu.ˈaɾ,ga:,aw,2,ˈaɾ,2,2,2,2,Final,Final,,voar,fly,Clements2012[37-41]
Sri Lanka Portuguese,uɾuʋaj:a,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,u,0,ɾu,ɔr,4,3,1,1,Initial,Initial,,orvalhar,fog,Clements2012[37-41]
Sri Lanka Portuguese,uɾuʋaj:a,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,ɾu,u,ʋa,vɐ,4,3,2,2,Medial,Medial,,orvalhar,fog,Clements2012[37-41]
Sri Lanka Portuguese,uɾuʋaj:a,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,ʋa,ɾu,j:a,ˈʎar,4,3,3,3,Medial,Final,,orvalhar,fog,Clements2012[37-41]
Sri Lanka Portuguese,uɾuʋaj:a,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,j:a,ʋa,4,ɾu,4,3,4,-,Final,-,,orvalhar,fog,Clements2012[37-41]
