Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceTargetEq,Audit,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,ga,gar,FALSE,,3,2,2,1,Medial,Final,ŋ,θɐ,ˈgaɾ,-,,garça,heron,Bandeira2017[366-412]
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,θɐ,sɐ,FALSE,,3,2,3,3,Final,-,ˈga,3,sɐ,-,,garça,heron,Bandeira2017[366-412]
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,ˈgɛ,ˈgɛ,TRUE,,2,2,1,1,Initial,Initial,0,lɐ,0,ʀɐ,,guerra,war,Bandeira2017[366-412]
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,gɛ,gɛ,TRUE,,,,1,1,,,,,,,,guerra,war,Bandeira2017[366-412]
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,lɐ,ʀɐ,FALSE,,2,2,2,2,Final,Final,ˈgɛ,2,ˈgɛ,2,,guerra,war,Bandeira2017[366-412]
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,ma,mal,FALSE,,3,3,1,1,Initial,Initial,0,ˈda,0,ˈda,,maldade,evil,Bandeira2017[366-412]
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,da,da,TRUE,,,,2,2,,,,,,,,maldade,evil,Bandeira2017[366-412]
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,ˈda,ˈda,TRUE,,3,3,2,2,Medial,Medial,ma,di,mal,dɨ,,maldade,evil,Bandeira2017[366-412]
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,di,dɨ,FALSE,,3,3,3,3,Final,Final,ˈda,3,ˈda,3,,maldade,evil,Bandeira2017[366-412]
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,θe,se,FALSE,,2,2,1,1,Initial,Initial,0,di,0,dɨ,,sede,thirst,Bandeira2017[366-412]
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,di,dɨ,FALSE,,2,2,2,2,Final,Final,ˈθe,2,ˈse,2,,sede,thirst,Bandeira2017[366-412]
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,si,si,TRUE,,2,3,1,1,Initial,Initial,0,-,0,ˈu,,ciúmes,jealousy,Bandeira2017[366-412]
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,-,u,FALSE,,2,3,-,2,-,Medial,ˈsi,mi,siˈ,mɨ,,ciúmes,jealousy,Bandeira2017[366-412]
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,mi,mɨ,FALSE,,2,3,2,3,Final,Final,-,2,ˈu,3,,ciúmes,jealousy,Bandeira2017[366-412]
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,vɛ,vɨɾ,FALSE,,3,3,1,1,Initial,Initial,0,ˈgɔ,0,ˈgo,,vergonha,shame,Bandeira2017[366-412]
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,gɔ,go,FALSE,,3,3,2,2,Medial,Medial,vɛ,ɲɐ,vɨɾ,ɲɐ,,vergonha,shame,Bandeira2017[366-412]
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,ɲɐ,ɲɐ,TRUE,,,,3,3,,,,,,,,vergonha,shame,Bandeira2017[366-412]
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,ɲɐ,ɲɐ,TRUE,,3,3,3,3,Final,Final,ˈgɔ,3,ˈgo,3,,vergonha,shame,Bandeira2017[366-412]
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,ko,koɾ,FALSE,,2,1,1,1,Initial,Final,0,lo,0,-,,cor,color,Bandeira2017[366-412]
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,lo,-,FALSE,,2,1,2,-,Final,-,ˈko,2,ˈkoɾ,-,,cor,color,Bandeira2017[366-412]
